Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,CCL,CAT,CBG,CBS,CELG,CNC,CNP,CTL,CERN,CF,LMT,L,LOW,LYB,MTB,MAC,M,MRO,MPC,MAR,MMC,MLM,MAS,MA,MAT,MKC,MCD,MCK,MDT
1999-12-31,31.910448,10.433799,,,1.166288,,16.693563,14.46875,,32.281773,6.254161,26.865334000000004,17.052069,49.174622,20.531096,327.625,8.31725,7.08057,16.614136,7.53125,,,31.411846,,5.765912,15.478644,,,2.107217,76.125,12.974788,,13.864553,38.089504,1050.883911,27.567842,,,3.189694,31.77812,14.494903,,,2.916667,,7.1681300000000014,21.809509,2.460938,,14.087737,8.746373,12.136035,,26.790997,7.063611999999999,18.659103,4.6216040000000005,,12.396065,30.330517,33.910168,14.270549,,7.189438000000001,10.195018,25.979603,19.695673,28.034752
2000-01-03,30.769329,10.056676,,,1.251975,,16.274672,15.5,,31.310091,6.226146,24.41548,16.171229999999998,45.795609000000006,20.0723,321.25,8.287651,6.642360000000001,16.320375,7.375,,,30.69919,,5.621763,15.116813,,,2.147302,89.375,12.801457,,13.567846,36.027519,1010.185181,26.440321,,,3.268452,31.15502,14.976139000000002,,,2.820313,,6.972278,20.831249,2.554688,,13.041224,8.512177000000001,11.32358,,26.293829,6.893917,18.589916,4.539703,,11.978776,29.973925,33.496639,14.165102,,7.155202,9.573895,25.536549,20.516333,26.351696
2000-01-04,29.5467,9.769344,,,1.213892,,14.909399,14.625,,30.06848,6.121093,22.463902,15.742109,42.297325,19.460575,300.0,8.184055,6.642360000000001,15.961325,6.9375,,,29.71242,,5.621763,14.634359,,,2.16448,81.9375,12.801457,,13.729682999999998,34.667164,958.552246,26.158449,,,3.045305,30.781172,14.783648,,,2.59375,,7.050619,19.996841,2.507813,,13.483975,8.458131,10.714242,,25.449032,6.766641,18.059429,4.364197,,11.905131,28.626783000000003,33.03141,13.81361,,7.223674000000001,9.702408,25.012924,19.203289,26.544041
2000-01-05,30.402544,9.751384,,,1.218653,,15.204173999999998,15.0,,30.392372,6.079071,21.924103,15.651758,39.673607,19.575274,283.5,8.228454,6.757679,15.667562,7.28125,,,30.260624,,5.896954,15.277626,,,2.153027,69.75,13.296682999999998,,14.242193,33.786663,960.829102,26.947704,,,3.281579,31.819645,15.130128,,,2.619792,,7.344394,20.140707,2.507813,,13.564476,8.404088,10.701544,,25.562206,6.872702,18.405403,4.481201,,12.101505,27.596607,34.737259,13.24564,,6.984027,9.788078,25.415709,19.422125,28.211723
2000-01-06,32.847771,10.092591,,,1.194851,,15.32829,16.0,,30.635298,6.086074,22.58847,15.967963,38.162998,20.875191,236.125,8.235842,6.988314999999999,15.373796,7.75,,,30.69919,,5.896954,15.197224,,,2.112945,65.5625,13.247160999999998,,14.323112,34.475002,990.139343,26.665827,,,3.530979,32.276585,15.900112,,,2.5625,,7.383566,19.910522,2.492188,,13.765734,8.350041000000001,10.676158,,25.861322,6.999975,18.243944,4.960912,,12.273332,29.452576,37.321865,13.386929,,7.155202,9.659569,25.053204,20.789883,29.270861
2000-01-07,33.499851,10.200341,,,1.228173,,16.072987,16.25,,31.229115000000004,6.485278,23.128271,16.284160999999994,41.343246,22.328054,248.375,8.539241,6.872999,15.667562,8.25,,,32.837158,,5.975579,15.760079,,,2.170205,69.5625,13.445243,,14.511923,34.976929,1064.247925,28.131596,,,3.9904,31.902739,16.419855,,,2.541667,,7.501073,19.737896,2.539063,,13.805979,8.485157000000001,10.917356,,26.322123,7.275728999999999,18.751364,5.1013150000000005,,12.616986,30.388535,38.872643,13.881429,,6.949789,9.616735,25.697659,20.571045,32.544579
2000-01-10,33.336834,10.12851,,,1.290058,,16.693563,17.5,,32.632656,6.366219,23.709589,15.312986,43.84770200000001,20.951658,285.5,8.391248,6.849935,15.863403,8.28125,,,34.043205,,5.988686,15.398242000000002,,,2.198836,69.1875,13.346199,,14.457977,35.464516,1045.41687,30.612137,,,4.09541,33.315098,15.880863,,,2.546875,,7.403147,20.313343,2.625,,13.282722,8.440114999999999,11.247416,,26.338293,7.466638,19.327974,4.84391,,13.279744,30.50802,38.30402,13.492888,,7.120968,9.188371,25.818502,21.008722,32.303852
2000-01-11,32.766277,9.984841,,,1.347182,,15.545491,17.25,,32.794616999999995,6.373221,23.626545,14.996787,43.251404,19.995844,278.4375,8.391248,6.8268710000000015,15.896047,7.5,,,33.82391,,5.975579,15.358043,,,2.210289,66.75,13.321444,,14.511923,35.794331,1028.408569,32.92355,,,4.226675,33.564327,15.630617,,,2.432292,,7.344394,20.169474,2.828125,,12.83997,8.431108,10.891968,,25.562206,7.551485,18.705233,4.902411,,12.813361,30.786793,37.942173,13.210314000000002,,7.326381,9.124116,26.422665,23.634806,32.448291999999995
2000-01-12,32.847771,9.835416,,,1.290058,,15.467919,18.125,,33.469398,6.3522120000000015,23.668066,14.748345,42.376839,20.339933,254.0,8.154457,6.872999,15.667562,7.40625,,,35.90708499999999,,6.041101,15.438446,,,2.22174,63.5625,13.395726000000002,,14.619822,35.60791,1059.38855,34.276581,,,4.226675,32.027348,15.900112,,,2.364583,,7.461902999999999,20.342106,2.742188,,13.644982,8.539199,10.759351,,25.861322,7.65755,18.659103,4.855611,,12.93609,30.527924,39.234486,12.998384,,7.223674000000001,9.124116,27.550461,22.704731,32.400154
2000-01-13,32.847771,9.745182000000002,,,1.304339,,16.290188,18.875,,34.036213000000004,6.422246,24.872232,15.087127,43.01289000000001,20.187,232.8125,8.139658,6.965253,15.732837,8.71875,,,36.619724,,6.0935190000000015,15.961097,,,2.244645,65.9375,13.445243,,14.592848000000002,35.794331,1088.545654,33.374561,,,4.9748730000000005,33.232002,16.073355,,,2.484375,,7.442317,20.370888,2.773438,,13.363228,8.674309,10.645022,,26.532326,7.763603999999999,18.912813,4.867311,,12.960641,31.065611,40.836948,12.96307,,7.531791,9.338296,27.268509,23.087706,33.507423
